application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,v-groove,40,0.5,2.417,1.208,0.641,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,u-groove,40,0.5,2.417,1.396,0.657,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,blade,50,0.5,3.021,2.082,1.926,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,scalloped,50,0.5,3.021,1.655,0.92,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,v-groove,50,0.5,3.021,1.51,0.801,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,u-groove,50,0.5,3.021,1.745,0.821,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,blade,60,0.5,3.625,2.498,2.312,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,scalloped,60,0.5,3.625,1.986,1.104,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,v-groove,60,0.5,3.625,1.813,0.961,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,u-groove,60,0.5,3.625,2.093,0.985,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,blade,80,0.5,4.833,3.331,3.082,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,scalloped,80,0.5,4.833,2.647,1.472,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,v-groove,80,0.5,4.833,2.417,1.282,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,u-groove,80,0.5,4.833,2.791,1.313,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,blade,100,0.5,6.042,4.164,3.853,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,scalloped,100,0.5,6.042,3.309,1.84,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,v-groove,100,0.5,6.042,3.021,1.602,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,u-groove,100,0.5,6.042,3.489,1.642,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,blade,150,0.5,9.063,6.246,5.779,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,scalloped,150,0.5,9.063,4.964,2.76,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,v-groove,150,0.5,9.063,4.531,2.403,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,u-groove,150,0.5,9.063,5.234,2.463,False
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,blade,200,0.5,12.084,8.328,7.705,True
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,scalloped,200,0.5,12.084,6.619,3.68,True
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,v-groove,200,0.5,12.084,6.042,3.205,True
uav_wing,"flat-plate analogy, friction-dominated",18,345786.9118442401,0.94353,u-groove,200,0.5,12.084,6.978,3.283,True
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,blade,20,0.5,1.328,0.916,0.847,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,scalloped,20,0.5,1.328,0.728,0.405,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,v-groove,20,0.5,1.328,0.664,0.352,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,u-groove,20,0.5,1.328,0.767,0.361,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,blade,30,0.5,1.993,1.373,1.271,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,scalloped,30,0.5,1.993,1.091,0.607,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,v-groove,30,0.5,1.993,0.996,0.528,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,u-groove,30,0.5,1.993,1.151,0.541,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,blade,40,0.5,2.657,1.831,1.694,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,scalloped,40,0.5,2.657,1.455,0.809,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,v-groove,40,0.5,2.657,1.328,0.705,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,u-groove,40,0.5,2.657,1.534,0.722,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,blade,50,0.5,3.321,2.289,2.118,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,scalloped,50,0.5,3.321,1.819,1.012,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,v-groove,50,0.5,3.321,1.661,0.881,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,u-groove,50,0.5,3.321,1.918,0.902,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,blade,60,0.5,3.985,2.747,2.541,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,scalloped,60,0.5,3.985,2.183,1.214,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,v-groove,60,0.5,3.985,1.993,1.057,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,u-groove,60,0.5,3.985,2.302,1.083,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,blade,80,0.5,5.314,3.662,3.388,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,scalloped,80,0.5,5.314,2.911,1.618,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,v-groove,80,0.5,5.314,2.657,1.409,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,u-groove,80,0.5,5.314,3.069,1.444,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,blade,100,0.5,6.642,4.578,4.236,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,scalloped,100,0.5,6.642,3.638,2.023,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,v-groove,100,0.5,6.642,3.321,1.762,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,u-groove,100,0.5,6.642,3.836,1.805,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,blade,150,0.5,9.963,6.867,6.353,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,scalloped,150,0.5,9.963,5.457,3.035,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,v-groove,150,0.5,9.963,4.982,2.642,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,u-groove,150,0.5,9.963,5.754,2.707,False
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,blade,200,0.5,13.285,9.156,8.471,True
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,scalloped,200,0.5,13.285,7.276,4.046,True
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,v-groove,200,0.5,13.285,6.642,3.523,True
uav_wing,"flat-plate analogy, friction-dominated",20,384207.6798269335,1.0373,u-groove,200,0.5,13.285,7.672,3.61,True
