application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,blade,40,0.5,0.253,0.175,0.162,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,scalloped,40,0.5,0.253,0.139,0.077,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,v-groove,40,0.5,0.253,0.127,0.067,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,u-groove,40,0.5,0.253,0.146,0.069,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,blade,50,0.5,0.317,0.218,0.202,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,scalloped,50,0.5,0.317,0.174,0.096,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,v-groove,50,0.5,0.317,0.158,0.084,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,u-groove,50,0.5,0.317,0.183,0.086,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,blade,75,0.5,0.475,0.328,0.303,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,scalloped,75,0.5,0.475,0.26,0.145,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,v-groove,75,0.5,0.475,0.238,0.126,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,u-groove,75,0.5,0.475,0.274,0.129,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,blade,100,0.5,0.634,0.437,0.404,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,scalloped,100,0.5,0.634,0.347,0.193,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,v-groove,100,0.5,0.634,0.317,0.168,False
swimwear,water; do not transfer air results directly,2.2,1725146.0674157306,0.09895,u-groove,100,0.5,0.634,0.366,0.172,False
